Dates,Final downtime,final running hours,Target Production,Cavity count,Mold id,Device,Cycle Time,MU,Rejection,Actual PRD,Performance,Availability,Quality
05-10-2024,1,23,6066,2,Plate 4 module,SH-150TC,27.3,23,13,6348,104.65,95.83333333,99.79521109
18-09-2024,1,23,6066,2,Plate 4 module,SH-150TC,27.3,23,40,6257,103.1498188,95.83333333,99.360716
12-09-2024,1,23,6066,2,Plate 4 module,SH-150TC,27.3,23,50,6480,106.826087,95.83333333,99.22839506
11-09-2024,1,23,6066,2,Plate 4 module,SH-150TC,27.3,23,5,6639,109.4472826,95.83333333,99.92468745
06-09-2024,1,23,6066,2,Plate 4 module,SH-150TC,27.3,23,16,6171,101.7320652,95.83333333,99.74072274
05-09-2024,1,23,6066,2,Plate 4 module,SH-150TC,27.3,23,27,6268,103.3311594,95.83333333,99.56924059
28-08-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,34,7230,91.68478261,95.83333333,99.52973721
22-08-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,22,7760,98.4057971,95.83333333,99.71649485
21-08-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,10,7696,97.5942029,95.83333333,99.87006237
17-08-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,75,7649,96.99818841,95.83333333,99.01947967
14-08-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,17,3872,49.10144928,95.83333333,99.56095041
12-08-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,66,7512,95.26086957,95.83333333,99.12140575
08-08-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,101,7592,96.27536232,95.83333333,98.66965227
03-07-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,24,4860,61.63043478,95.83333333,99.50617284
29-06-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,89,4710,59.72826087,95.83333333,98.1104034
19-06-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,24,7090,89.90942029,95.83333333,99.66149506
10-06-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,52,7246,91.88768116,95.83333333,99.28236268
08-06-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,70,6884,87.29710145,95.83333333,98.98314933
05-06-2024,1,23,7886,2,Plate 3 module,SH-150TC,21,23,33,7384,93.63768116,95.83333333,99.55308776
04-09-2024,1,23,6369,2,Frame 6 Module,SH-150TB,26,23,0,6472,101.6135266,95.83333333,100
28-08-2024,1,23,6369,2,Frame 6 Module,SH-150TB,26,23,10,6094,95.67874396,95.83333333,99.83590417
22-08-2024,1,23,6369,2,Frame 6 Module,SH-150TB,26,23,5,6314,99.13285024,95.83333333,99.9208109
05-08-2024,1,23,6369,2,Frame 6 Module,SH-150TB,26,23,8,5668,88.99033816,95.83333333,99.85885674
03-07-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,0,7704,95.36956522,95.83333333,100
29-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,0,7888,97.647343,95.83333333,100
25-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,0,7790,96.43417874,95.83333333,100
24-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,8,8010,99.1576087,95.83333333,99.90012484
19-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,0,8100,100.2717391,95.83333333,100
12-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,10,7906,97.87016908,95.83333333,99.87351379
11-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,1,8030,99.40519324,95.83333333,99.9875467
10-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,5,7874,97.47403382,95.83333333,99.93649987
08-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,0,7362,91.13586957,95.83333333,100
04-06-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,0,4295,53.16878019,95.83333333,100
31-05-2024,1,23,8078,2,Frame 3 Module,SH-150TB,20.5,23,0,7288,90.21980676,95.83333333,100
19-10-2024,1,23,5831,2,Plate 8 module,SH-150TE,28.4,23,45,5778,99.09130435,95.83333333,99.2211838
17-10-2024,1,23,5831,2,Plate 8 module,SH-150TE,28.4,23,30,5907,101.3036232,95.83333333,99.49212798
16-10-2024,1,23,5831,2,Plate 8 module,SH-150TE,28.4,23,20,5818,99.77729469,95.83333333,99.65623926
03-07-2024,1,23,5831,2,Plate 8 module,SH-150TE,28.4,23,4,6200,106.3285024,95.83333333,99.93548387
02-07-2024,1,23,5831,2,Plate 8 module,SH-150TE,28.4,23,0,6320,108.3864734,95.83333333,100
01-07-2024,1,23,5831,2,Plate 8 module,SH-150TE,28.4,23,4,6302,108.0777778,95.83333333,99.93652809
29-10-2024,1,23,8078,2,Frame 3 Module,SH-150TD,20.5,23,9,6184,76.5531401,95.83333333,99.85446313
28-10-2024,1,23,8078,2,Frame 3 Module,SH-150TD,20.5,23,25,6316,78.18719807,95.83333333,99.60417986
27-10-2024,1,23,8078,2,Frame 3 Module,SH-150TD,20.5,23,40,6210,76.875,95.83333333,99.35587762
28-09-2024,1,23,4600,2,Icearbud,SH-150TD,36,23,30,9244,200.9565217,95.83333333,99.67546517
27-09-2024,1,23,4600,2,Icearbud,SH-150TD,36,23,28,8984,195.3043478,95.83333333,99.68833482
25-09-2024,1,23,4600,2,Icearbud,SH-150TD,36,23,34,3930,85.43478261,95.83333333,99.13486005
02-08-2024,1,23,5831,2,Plate 8 module,SH-150TD,28.4,23,60,6336,108.6608696,95.83333333,99.0530303
01-08-2024,1,23,5831,2,Plate 8 module,SH-150TD,28.4,23,88,6280,107.7004831,95.83333333,98.59872611
11-07-2024,1,23,6369,2,Frame 8m,SH-150TD,26,23,6,5058,79.41304348,95.83333333,99.88137604
